company,lat,lng,location,classification,services,offer_model,project_size_range,federal_state,reference_projects
LakeConstance Energy Park GmbH,51.1657,10.4515,Konstanz,Ground-Mounted Solar,Lakefront / coastal wind & PV integration,EPC/Project Sale,1–10 MW,Baden-Wuerttemberg,Seewiese Allensbach (3.2 MW
Allgaeu AgriPV GmbH,51.1657,10.4515,Kempten,Agri-PV,Berry/orchard layouts & hail protection,Cooperation/Sale,0.5–5 MW,Bavaria,AgriPV Oberstdorf (0.9 MW
NorthFrisia Solar GmbH,51.1657,10.4515,Husum,Ground-Mounted Solar,Storm load optimization & coastal protection,Lease,>10 MW,Schleswig-Holstein,Hallig Park (10.5 MW
Lueneburg Fields Solar KG,51.1657,10.4515,Lueneburg,Ground-Mounted Solar,Flora-fauna compatibility assessments,Project Sale/Lease,1–10 MW,Lower Saxony,Lueneburg Heath (6.1 MW
Uckermark PV GmbH,51.1657,10.4515,Prenzlau,Ground-Mounted & Agri-PV,Grazing integration with PV layouts,Lease/Participation,5–10 MW,Brandenburg,Uckermark North (7.4 MW
PalatinateSun GmbH,51.1657,10.4515,Neustadt a.d.W.,Ground-Mounted Solar,State-level PPA project planning,Cooperation/Lease,>10 MW,Rhineland-Palatinate,Palatinate PPA (12.7 MW
Hunsrueck Solar AG,51.1657,10.4515,Idar-Oberstein,Ground-Mounted Solar,Grid connection & supervision,Lease,1–10 MW,Rhineland-Palatinate,Hunsrueck East (4.1 MW
MarkSolar GmbH,51.1657,10.4515,Eberswalde,Ground-Mounted Solar,Forest conversion & biodiversity protection,Lease/Cooperation,>10 MW,Brandenburg,Barnim Solar (11.8 MW
BalticLand PV GmbH,51.1657,10.4515,Greifswald,Ground-Mounted Solar,Raptor monitoring & ecological design,Lease,5–10 MW,Mecklenburg-Western Pomerania,Loitz PV (5.6 MW
HarzHelio GmbH,51.1657,10.4515,Wernigerode,Ground-Mounted Solar,Mountain terrain design & coordination,EPC/Lease,1–5 MW,Saxony-Anhalt,Harz Edge (2.0 MW
Vogtland Volt GmbH,51.1657,10.4515,Plauen,Ground-Mounted Solar,Cable route optimization & bundling,Lease/Project Sale,1–10 MW,Saxony,Vogtland West (3.9 MW
Chiemgau PV Works GmbH,51.1657,10.4515,Traunstein,Ground-Mounted Solar,Permitting & procurement,EPC/Lease,5–10 MW,Bavaria,Chiemgau Central (8.2 MW
Muensterland Solar GmbH,51.1657,10.4515,Coesfeld,Ground-Mounted & Agri-PV,Biotope & hedge integration,Lease/Participation,1–10 MW,NRW,Rosendahl PV (4.7 MW
LowerRhine Energy GmbH,51.1657,10.4515,Kleve,Ground-Mounted Solar,Clay/peat soil engineering & substructure,Lease,1–5 MW,NRW,Lower Rhine South (2.9 MW
UpperPalatinate PV GmbH,51.1657,10.4515,Weiden i.d.OPf.,Ground-Mounted Solar,Snow load zone 3 coordination,Lease/EPC,1–10 MW,Bavaria,Upper Palatinate East (5.3 MW
Prignitz Solar GmbH,51.1657,10.4515,Wittenberge,Ground-Mounted Solar,Railway/roadside PV + PPA,Lease/Cooperation,>10 MW,Brandenburg,Prignitz West (12.4 MW
Flaeming Solar UG,51.1657,10.4515,Bad Belzig,Ground-Mounted Solar,Nature conservation & vegetation plans,Lease,1–5 MW,Brandenburg,Flaeming South (2.2 MW
Altmark Renewables GmbH,51.1657,10.4515,Stendal,Ground-Mounted Solar,Conversion & former military sites,Lease/Own Operation,>10 MW,Saxony-Anhalt,Altmark North (16 MW
HelioRhein Consulting GmbH,51.1657,10.4515,Bonn,Ground-Mounted Solar,Due diligence & bankability advisory,Acquisition/Project Sale,>10 MW,NRW,Rhein-Sieg Cluster (10.1 MW
